IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.228.30,2096,2096,true,SIN,Asia Pacific,Singapore,119,10.359999999999999
47.74.10.240,2096,2096,true,NRT,Asia Pacific,Tokyo,113,10.359999999999999
47.236.193.208,2096,2096,true,SIN,Asia Pacific,Singapore,91,10.359999999999999
47.245.52.153,2087,2087,true,NRT,Asia Pacific,Tokyo,213,10.359999999999999
8.219.164.237,443,443,true,SIN,Asia Pacific,Singapore,81,10.35
8.219.84.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,123,10.35
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,165,10.34
8.219.170.58,8443,8443,true,SIN,Asia Pacific,Singapore,67,10.34
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,10.34
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,54,10.33
47.245.10.77,2083,2083,true,NRT,Asia Pacific,Tokyo,176,10.33
47.245.12.38,2096,2096,true,NRT,Asia Pacific,Tokyo,273,10.33
47.74.0.183,2083,2083,true,NRT,Asia Pacific,Tokyo,166,10.33
8.219.75.44,2083,2083,true,SIN,Asia Pacific,Singapore,115,10.33
8.218.2.181,8443,8443,true,HKG,Asia Pacific,Hong Kong,105,10.32
8.219.204.120,2087,2087,true,SIN,Asia Pacific,Singapore,201,10.31
8.219.173.195,2087,2087,true,SIN,Asia Pacific,Singapore,173,10.31
8.219.236.8,2083,2083,true,SIN,Asia Pacific,Singapore,113,10.31
8.219.82.35,2096,2096,true,SIN,Asia Pacific,Singapore,99,10.300000000000001
8.219.220.122,2096,2096,true,SIN,Asia Pacific,Singapore,150,10.300000000000001
47.245.37.41,2096,2096,true,NRT,Asia Pacific,Tokyo,112,10.300000000000001
47.245.62.84,2053,2053,true,NRT,Asia Pacific,Tokyo,168,10.289999999999999
8.219.193.202,2096,2096,true,SIN,Asia Pacific,Singapore,134,10.289999999999999
47.245.54.98,8443,8443,true,NRT,Asia Pacific,Tokyo,250,10.289999999999999
8.219.222.8,2087,2087,true,SIN,Asia Pacific,Singapore,120,10.289999999999999
8.219.208.69,2053,2053,true,SIN,Asia Pacific,Singapore,40,10.289999999999999
8.219.249.148,8443,8443,true,SIN,Asia Pacific,Singapore,270,10.279999999999999
47.245.55.99,2087,2087,true,NRT,Asia Pacific,Tokyo,170,10.279999999999999
47.245.30.208,2053,2053,true,NRT,Asia Pacific,Tokyo,315,10.279999999999999
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,152,10.279999999999999
47.245.30.65,2087,2087,true,NRT,Asia Pacific,Tokyo,226,10.279999999999999
8.219.97.179,443,443,true,SIN,Asia Pacific,Singapore,102,10.279999999999999
47.245.59.244,2083,2083,true,NRT,Asia Pacific,Tokyo,205,10.279999999999999
8.222.138.164,2083,2083,true,SIN,Asia Pacific,Singapore,146,10.279999999999999
8.219.196.117,443,443,true,SIN,Asia Pacific,Singapore,153,10.27
8.222.236.229,8443,8443,true,SIN,Asia Pacific,Singapore,97,10.27
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,157,10.26
47.245.56.50,2096,2096,true,NRT,Asia Pacific,Tokyo,184,10.26
47.91.10.241,2053,2053,true,NRT,Asia Pacific,Tokyo,94,10.26
8.222.214.13,2087,2087,true,SIN,Asia Pacific,Singapore,59,10.26
47.236.116.26,2087,2087,true,SIN,Asia Pacific,Singapore,162,10.26
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,158,10.26
8.222.167.8,2087,2087,true,SIN,Asia Pacific,Singapore,137,10.26
47.236.170.54,2083,2083,true,SIN,Asia Pacific,Singapore,96,10.25
47.245.10.164,8443,8443,true,NRT,Asia Pacific,Tokyo,235,10.24
47.236.175.189,2083,2083,true,SIN,Asia Pacific,Singapore,118,10.24
47.236.194.67,2083,2083,true,SIN,Asia Pacific,Singapore,52,10.23
8.222.137.192,2096,2096,true,SIN,Asia Pacific,Singapore,101,10.23
8.218.110.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,122,10.23
47.245.56.207,8443,8443,true,NRT,Asia Pacific,Tokyo,283,10.23
8.219.73.21,8443,8443,true,SIN,Asia Pacific,Singapore,113,10.220000000000001
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,106,10.220000000000001
8.219.184.92,8443,8443,true,SIN,Asia Pacific,Singapore,155,10.199999999999999
8.219.172.128,2096,2096,true,SIN,Asia Pacific,Singapore,162,10.199999999999999
8.217.221.165,2083,2083,true,HKG,Asia Pacific,Hong Kong,69,10.19
8.219.12.152,2083,2083,true,SIN,Asia Pacific,Singapore,180,10.19
47.74.27.94,2083,2083,true,NRT,Asia Pacific,Tokyo,181,10.18
47.242.155.183,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,10.18
8.219.251.81,2087,2087,true,SIN,Asia Pacific,Singapore,80,10.18
8.219.106.156,2053,2053,true,SIN,Asia Pacific,Singapore,146,10.18
8.219.83.201,2096,2096,true,SIN,Asia Pacific,Singapore,158,10.18
8.219.97.179,2053,2053,true,SIN,Asia Pacific,Singapore,129,10.17
8.219.200.145,2087,2087,true,SIN,Asia Pacific,Singapore,204,10.17
47.245.41.169,2053,2053,true,NRT,Asia Pacific,Tokyo,184,10.17
47.74.27.94,2096,2096,true,NRT,Asia Pacific,Tokyo,250,10.17
8.219.87.34,2083,2083,true,SIN,Asia Pacific,Singapore,155,10.17
8.219.201.174,443,443,true,SIN,Asia Pacific,Singapore,159,10.17
